Station;Longitude;Latitude;Elevation;Gravity
111 ;         -50.08958333;  -16.59375000;  6.490000E+02;  9.782667332191E+05
112 ;         -50.08541667;  -16.59375000;  6.640000E+02;  9.782622128960E+05
113 ;         -50.08125000;  -16.59375000;  6.690000E+02;  9.782607899376E+05
114 ;         -50.07708333;  -16.59375000;  6.770000E+02;  9.782584405146E+05
115 ;         -50.07291667;  -16.59375000;  6.810000E+02;  9.782573230601E+05
116 ;         -50.06875000;  -16.59375000;  6.840000E+02;  9.782565038259E+05
117 ;         -50.06458333;  -16.59375000;  6.970000E+02;  9.782525707361E+05
118 ;         -50.06041667;  -16.59375000;  6.990000E+02;  9.782520184058E+05
119 ;         -50.05625000;  -16.59375000;  6.780000E+02;  9.782585617787E+05
120 ;         -50.05208333;  -16.59375000;  6.570000E+02;  9.782650730912E+05
121 ;         -50.04791667;  -16.59375000;  6.760000E+02;  9.782591456028E+05
122 ;         -50.04375000;  -16.59375000;  6.850000E+02;  9.782562685119E+05
123 ;         -50.03958333;  -16.59375000;  6.740000E+02;  9.782595404007E+05
124 ;         -50.03541667;  -16.59375000;  6.620000E+02;  9.782630667237E+05
125 ;         -50.03125000;  -16.59375000;  6.630000E+02;  9.782625004683E+05
126 ;         -50.02708333;  -16.59375000;  6.830000E+02;  9.782559763303E+05
127 ;         -50.02291667;  -16.59375000;  6.950000E+02;  9.782518680350E+05
128 ;         -50.01875000;  -16.59375000;  7.080000E+02;  9.782473829591E+05
129 ;         -50.01458333;  -16.59375000;  7.070000E+02;  9.782471731710E+05
130 ;         -50.01041667;  -16.59375000;  7.080000E+02;  9.782462760044E+05
131 ;         -50.00625000;  -16.59375000;  7.200000E+02;  9.782419029212E+05
132 ;         -50.00208333;  -16.59375000;  7.150000E+02;  9.782427364032E+05
133 ;         -49.99791667;  -16.59375000;  7.100000E+02;  9.782435077235E+05
134 ;         -49.99375000;  -16.59375000;  7.040000E+02;  9.782445298888E+05
135 ;         -49.98958333;  -16.59375000;  6.950000E+02;  9.782464257196E+05
136 ;         -49.98541667;  -16.59375000;  6.950000E+02;  9.782454855376E+05
137 ;         -49.98125000;  -16.59375000;  6.930000E+02;  9.782451207832E+05
138 ;         -49.97708333;  -16.59375000;  6.780000E+02;  9.782487368624E+05
139 ;         -49.97291667;  -16.59375000;  6.770000E+02;  9.782479922167E+05
140 ;         -49.96875000;  -16.59375000;  6.680000E+02;  9.782496938299E+05
141 ;         -49.96458333;  -16.59375000;  6.670000E+02;  9.782489071833E+05
142 ;         -49.96041667;  -16.59375000;  6.640000E+02;  9.782487280856E+05
143 ;         -49.95625000;  -16.59375000;  6.740000E+02;  9.782445394805E+05
144 ;         -49.95208333;  -16.59375000;  6.880000E+02;  9.782391282278E+05
145 ;         -49.94791667;  -16.59375000;  6.780000E+02;  9.782411242439E+05
146 ;         -49.94375000;  -16.59375000;  6.740000E+02;  9.782412908810E+05
147 ;         -49.93958333;  -16.59375000;  6.950000E+02;  9.782337942364E+05
148 ;         -49.93541667;  -16.59375000;  7.210000E+02;  9.782247998860E+05
149 ;         -49.93125000;  -16.59375000;  7.270000E+02;  9.782219969415E+05
150 ;         -49.92708333;  -16.59375000;  7.080000E+02;  9.782269180497E+05
151 ;         -49.92291667;  -16.59375000;  6.980000E+02;  9.782291194446E+05
152 ;         -49.91875000;  -16.59375000;  6.880000E+02;  9.782313708432E+05
153 ;         -49.91458333;  -16.59375000;  6.770000E+02;  9.782339825579E+05
154 ;         -49.91041667;  -16.59375000;  6.690000E+02;  9.782357298660E+05
155 ;         -49.90625000;  -16.59375000;  6.660000E+02;  9.782360016571E+05
156 ;         -49.90208333;  -16.59375000;  6.660000E+02;  9.782354128619E+05
157 ;         -49.89791667;  -16.59375000;  6.640000E+02;  9.782354970908E+05
