Alt,Bouguer,C_Bouguer,Date,drift,Elevation,FreeAir,GravCor,Gravity,Ice,LatCor,Latitude,Longitude,NAME_LAT_Y_LAT_X_ELEV_Z_G_HR_TEMP,Reading,Slope,Station,Terrain,tide,Time,Type,Water,X,Y
0,-55.4604113406403,-55.4604113406403,2023/07/06,-0.000107463422596377,885.381,43.6677653827641,-229.557269693236,978216.221835738,0,978445.779105431,-16.4273950509254,-49.9927316962775,csg2_003 8183520.269 607541.834 885.381 4483.936 10:03:17 226.9,4483.936,0,csg2_003,0,-0.0711045488715172,10:03:17,0,0,607541.834,8183520.269
0,-55.9615241895647,-55.9615241895647,2023/07/06,-0.00012121230667054,871.971,41.6652550000539,-227.421507715946,978218.228526299,0,978445.650034015,-16.4247566067686,-49.9915440227061,csg2_004 8183811.538 607670.101 871.971 4485.935 10:21:14 226.82,4485.935,0,csg2_004,0,-0.0634002387523651,10:21:14,0,0,607670.101,8183811.538
0,-62.549562244817,-62.549562244817,2023/07/06,-0.000144229240733413,857.822,33.493080203151,-231.227357708849,978214.331967955,0,978445.559325664,-16.4229021448159,-49.9985114264886,csg2_005 8184020.393 606927.16 857.822 4482.022 10:51:17 226.74,4482.022,0,csg2_005,0,-0.0469355657696724,10:51:17,0,0,606927.16,8184020.393
0,-52.1582287761692,-52.1582287761692,2023/07/06,-0.000160046202077783,849.701,42.9751780735977,-219.239151722402,978226.442269168,0,978445.681420891,-16.4253982437594,-50.0012135130979,csg2_006 8183745.666 606637.277 849.701 4494.119 11:11:56 226.77,4494.119,0,csg2_006,0,-0.0336185358464718,11:11:56,0,0,606637.277,8183745.666
0,-50.7993220282068,-50.7993220282068,2023/07/06,-0.000170054674792865,844.073,43.7039680937341,-216.773583414266,978228.8702811,0,978445.643864514,-16.4246304819932,-50.0029917782564,csg2_007 8183831.541 606447.819 844.073 4496.538 11:25:00 226.77,4496.538,0,csg2_007,0,-0.0245965961366892,11:25:00,0,0,606447.819,8183831.541
0,-50.4124299573003,-50.4124299573003,2023/07/06,-0.000179731233871988,837.464,43.3509096574974,-215.087130886503,978230.547284388,0,978445.634415275,-16.4244373070012,-50.0049797652129,csg2_008 8183853.956 606235.654 837.464 4498.206 11:37:38 226.75,4498.206,0,csg2_008,0,-0.0155836306512356,11:37:38,0,0,606235.654,8183853.956
0,-56.394326513965,-56.394326513965,2023/07/07,-0.0107028483463363,853.061,39.1152694270413,-224.135942928959,978220.278381299,0,978444.414324227,-16.3994774424184,-49.9940209558111,csg3_001 8186609.566 607419.498 853.061 4487.952 13:02:17 226.75,4487.952,0,csg3_001,0,0.0179626699537039,13:02:17,0,0,607419.498,8186609.566
0,-56.4667612212121,-56.4667612212121,2023/07/07,-0.0117222938536366,903.656,44.7075034910019,-234.157123484998,978210.344307519,0,978444.501431004,-16.4012605387263,-49.9940725617258,csg3_002 8186412.324 607413.009 903.656 4477.998 13:34:14 226.82,4477.998,0,csg3_002,0,0.0389083363115788,13:34:14,0,0,607413.009,8186412.324
0,-55.4452069197583,-55.4452069197583,2023/07/07,-0.0138675432936207,910.203,46.4620667151773,-234.422938272823,978210.15904353,0,978444.581981803,-16.4029092791543,-49.9941975060483,csg3_003 8186229.985 607398.762 910.203 4477.78 14:41:28 226.8,4477.78,0,csg3_003,0,0.0737895965576172,14:41:28,0,0,607398.762,8186229.985
0,-55.4604879972358,-55.4604879972358,2023/07/07,-0.0145865262492128,899.24,45.2193567664922,-232.282510273508,978212.403780477,0,978444.686290751,-16.405044090197,-49.9948165029627,csg3_004 8185994.132 607331.49 899.24 4480.018 15:04:00 226.83,4480.018,0,csg3_004,0,0.0812455266714096,15:04:00,0,0,607331.49,8185994.132
0,-56.5673799162699,-56.5673799162699,2023/07/07,-0.0161095789007038,908.192,45.1147400691173,-235.149678362883,978209.543445208,0,978444.693123571,-16.4051839236594,-49.9921652810799,csg3_005 8185977.257 607614.53 908.192 4477.152 15:51:44 226.75,4477.152,0,csg3_005,0,0.0884333103895187,15:51:44,0,0,607614.53,8185977.257
0,-57.5626533750784,-57.5626533750784,2023/07/07,-0.0171050937622928,903.573,43.6023185708938,-235.236694937106,978209.460595326,0,978444.697290263,-16.405269194356,-49.9896724849728,csg3_006 8185966.499 607880.682 903.573 4477.072 16:22:56 226.9,4477.072,0,csg3_006,0,0.086578942835331,16:22:56,0,0,607880.682,8185966.499
0,-53.9330330211825,-53.9330330211825,2023/07/08,-0.00171228624566454,818.209,37.6744967865275,-214.821527777473,978230.43972285,0,978445.261250628,-16.4168069196842,-49.9964122958142,csg4_001 8184693.618 607154.639 818.209 4498.23 11:26:23 226.73,4498.23,0,csg4_001,0,-0.0521635189652443,11:26:23,0,0,607154.639,8184693.618
0,-53.3858440318278,-53.3858440318278,2023/07/08,-0.00194742330247374,856.076,42.4613144419425,-221.720314854058,978223.651509018,0,978445.371823872,-16.4190682254778,-49.9970410426995,csg4_002 8184443.775 607086.263 856.076 4491.431 11:59:07 226.8,4491.431,0,csg4_002,0,-0.041142214089632,11:59:07,0,0,607086.263,8184443.775
0,-54.632004988152,-54.632004988152,2023/07/08,-0.00279207296428072,755.116,29.9115669821865,-203.114210153813,978241.921189929,0,978445.035400082,-16.412187245553,-49.9957827595131,csg4_003 8185204.374 607224.393 755.116 4509.635 13:56:42 226.76,4509.635,0,csg4_003,0,0.0253833457827568,13:56:42,0,0,607224.393,8185204.374
0,-54.7610762060689,-54.7610762060689,2023/07/08,-0.00299500438550862,806.693,35.5571102758336,-213.385122752166,978231.506171586,0,978444.891294338,-16.4092390210559,-49.9954251461966,csg4_004 8185530.356 607264.196 806.693 4499.203 14:24:57 226.78,4499.203,0,csg4_004,0,0.0425679348409176,14:24:57,0,0,607264.196,8185530.356
0,-61.6154766697892,-61.6154766697892,2023/07/10,0.00244564242803878,817.502,29.9128966833058,-222.364950508694,978221.880718778,0,978444.245669286,-16.396024545532,-49.9953115241785,csg5_001 8186992.253 607283.569 817.502 4489.706 10:11:39 226.84,4489.706,0,csg5_001,0,-0.0095125213265419,10:11:39,0,0,607283.569,8186992.253
0,-51.3631080066661,-51.3631080066661,2023/07/10,0.00299346237296774,843.804,43.1100645957679,-217.284474588232,978226.772796546,0,978444.057271134,-16.3921666778757,-49.9971216453657,csg5_002 8187420.016 607092.371 843.804 4494.613 10:48:33 226.75,4494.613,0,csg5_002,0,-0.0249825734645128,10:48:33,0,0,607092.371,8187420.016
0,-63.3918114220505,-63.3918114220505,2023/07/10,0.0053252849389165,743.988,19.9058581056356,-209.685862742364,978235.367607843,0,978445.053470585,-16.412556912352,-49.9930549560102,csg5_003 8185162.032 607515.474 743.988 4503.217 13:25:37 226.78,4503.217,0,csg5_003,0,-0.0365030989050865,13:25:37,0,0,607515.474,8185162.032
0,-57.339396774987,-57.339396774987,2023/07/10,0.0067002783598606,737.811,25.2666894144295,-202.41883394157,978242.650138779,0,978445.068972721,-16.4128740323713,-49.9896627034988,csg5_004 8185125.146 607877.535 737.811 4510.461 14:58:14 226.76,4510.461,0,csg5_004,0,0.000652844028081745,14:58:14,0,0,607877.535,8185125.146
0,-58.5630432754167,-58.5630432754167,2023/07/10,0.0070877607599323,734.013,23.6178148876524,-202.895660860348,978242.198527527,0,978445.094188387,-16.4133898459518,-49.9865744155423,csg5_005 8185066.434 608207.027 734.013 4509.995 15:24:20 226.74,4509.995,0,csg5_005,0,0.0146541092544794,15:24:20,0,0,608207.027,8185066.434
0,-46.2037041712235,-46.2037041712235,2023/07/10,0.00765141651176075,803.03,43.7043690246046,-204.107476855395,978241.051313172,0,978445.158790027,-16.4147112762276,-50.0017926822033,csg5_006 8184928.302 606581.259 803.03 4508.826 16:02:18 226.8,4508.826,0,csg5_006,0,0.0358760990202427,16:02:18,0,0,606581.259,8184928.302
0,-57.5336421351374,-57.5336421351374,2023/07/11,0.0703935432613947,819.926,34.2661247766374,-218.759759119363,978225.011105563,0,978443.770864683,-16.3863003260844,-50.0086264394669,csg6_001 8188075.06 605866.896 819.926 4493.155 12:14:06 226.67,4493.155,0,csg6_001,0,-0.0338225066661835,12:14:06,0,0,605866.896,8188075.06
0,-62.7134804880966,-62.7134804880966,2023/07/11,0.0817305567641635,802.53,27.1386121882019,-220.518935691798,978222.511240298,0,978443.03017599,-16.3711204142558,-50.0084579625837,csg6_002 8189754.362 605893.085 802.53 4490.651 12:48:36 226.91,4490.651,0,csg6_002,0,-0.0410247854888439,12:48:36,0,0,605893.085,8189754.362
0,-63.7175976877985,-63.7175976877985,2023/07/11,0.0916928889194951,782.403,23.8810551553524,-217.565381032648,978225.575408279,0,978443.140789312,-16.3733881547274,-49.9984798811062,csg6_003 8189498.251 606957.563 782.403 4493.708 13:18:55 226.82,4493.708,0,csg6_003,0,-0.0438191369175911,13:18:55,0,0,606957.563,8189498.251
0,-62.2898344703261,-62.2898344703261,2023/07/11,0.101945492435042,812.296,28.6556697134259,-222.015626702574,978221.321605866,0,978443.337232568,-16.3774148498244,-49.9989147539665,csg6_004 8189052.996 606908.922 812.296 4489.443 13:50:07 226.78,4489.443,0,csg6_004,0,-0.0428741537034512,13:50:07,0,0,606908.922,8189052.996
0,-61.1798833995417,-61.1798833995417,2023/07/11,0.122861460824933,824.209,31.0994126425244,-223.248187921476,978220.236541661,0,978443.484729582,-16.3804376654748,-49.9989245024286,csg6_005 8188718.579 606906.233 824.209 4488.323 14:53:46 226.73,4488.323,0,csg6_005,0,-0.0288543272763491,14:53:46,0,0,606906.233,8188718.579
0,-63.9371891466422,-63.9371891466422,2023/07/11,0.140540629707512,804.754,26.1639048805243,-222.179960503476,978221.204103478,0,978443.384063982,-16.378374670371,-49.9911019445528,csg6_006 8188942.681 607742.821 804.754 4489.25 15:47:34 226.91,4489.25,0,csg6_006,0,-0.00597167853266001,15:47:34,0,0,607742.821,8188942.681
0,-62.6201372844611,-62.6201372844611,2023/07/12,0.0396485406713302,721.705,18.1827044098656,-204.532571770134,978240.556333887,0,978445.088905657,-16.4132817832296,-49.9779639239755,csg7_001 8185073.774 609126.542 721.705 4510.744 10:24:28 226.72,4510.744,0,csg7_001,0,0.0259814318269491,10:24:28,0,0,609126.542,8185073.774
0,-62.3461472956941,-62.3461472956941,2023/07/12,0.0483462203003287,756.268,22.3264037916408,-211.054875936359,978233.873073301,0,978444.927949238,-16.409988979441,-49.9781409730133,csg7_002 8185438.164 609109.472 756.268 4504.063 10:55:05 226.74,4504.063,0,csg7_002,0,0.0150231663137674,10:55:05,0,0,609109.472,8185438.164
0,-60.0865348930032,-60.0865348930032,2023/07/12,0.0609547781947343,739.405,22.6980171926739,-205.479408187326,978239.57951356,0,978445.058921748,-16.4126684248869,-49.9823036389193,csg7_003 8185143.963 608663.474 739.405 4509.775 11:39:28 226.79,4509.775,0,csg7_003,0,-0.00314513267949224,11:39:28,0,0,608663.474,8185143.963
0,-64.3720705027821,-64.3720705027821,2023/07/12,0.0867116520008051,727.063,17.0306584388246,-207.338075109175,978237.819084444,0,978445.157159553,-16.414677925941,-49.9735344114343,csg7_005 8184916.924 609598.758 727.063 4508.023 13:10:08 226.67,4508.023,0,csg7_005,0,-0.0373311229050159,13:10:08,0,0,609598.758,8184916.924
0,-68.0796929284099,-68.0796929284099,2023/07/12,0.0939415686004135,723.968,12.9765165973081,-210.437112330692,978234.819993526,0,978445.257105857,-16.4167221506236,-49.967705539495,csg7_006 8184687.603 610220.029 723.968 4505.023 13:35:35 226.77,4505.023,0,csg7_006,0,-0.043651957064867,13:35:35,0,0,610220.029,8184687.603
